average_gas_to_oil_ratio,basin_ag_flaring_co2_emissions,basin_ag_venting_co2_emissions,facility_id,facility_name,flaring_ch4_emissions,flaring_n2o_emissions,industry_segment,natural_gas_vented_or_flared,number_of_wells_flaring,number_of_wells_venting,reporting_year,sub_basin_identifier,table_desc,table_num,venting_ch4_emissions,volume_of_gas_sent_to_sales,volume_of_oil_produced,wells_two_year_delay
2395.1403920000,133780.6582000000,,1008490,Hess Corporation - 395 - Williston Basin,337.1965467000,0.1843874275,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,693.0000000000,,2022,"395 - MOUNTRAIL, ND (61) - Oil",Associated Gas Venting and Flaring,Table M.1,,36630448000.0000000000,16033853.0200000000,No
9624.3093923000,,7.8417437000,1011659,Endeavor Energy Resources LP 430 Permian Basin,,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,3.0000000000,2019,"430 - ROOSEVELT, NM (41) - Oil",Associated Gas Venting and Flaring,Table M.1,28.6315996000,0E-10,2534.0000000000,No
32541.1650336000,4467.9738142000,,1012780,Permian Basin Oil and Gas Production Facilities,16.1373169000,0.0073002000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,64.0000000000,,2019,"430 - CROCKETT, TX (105) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,2553.1852414000,No
7782.1470000000,3636.6416060000,0E-10,1009707,COG Operating LLC  430 Permian Basin,12.6933361000,0.0066287000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,99.0000000000,,2016,"430 - GLASSCOCK, TX (173) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,6304.0000000000,No
2792.0000000000,6503.7100000000,0E-10,1013023,"Sundance Energy, Inc. - South Texas Basin",24.1000000000,0.0109000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,8.0000000000,,2017,"220 - ATASCOSA, TX (13) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,31723.0000000000,No
859.7000000000,1357.3137500000,0E-10,1009281,395 Williston Basin QEP Energy Company,3.4667200000,0.0019700000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,22.0000000000,,2016,"395 - MC LEAN, ND (55) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,261050748.0200000000,322370.9710600000,No
705.5613370000,1469.5470822000,,1011923,White Rock Oil & Gas LLC - 395 Williston,2.3431586000,0.0013248000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,2.0000000000,,2018,"395 - GOLDEN VALLEY, ND (33) - Oil",Associated Gas Venting and Flaring,Table M.1,,2107.6200000000,18190.4100000000,No
1386.8421053000,2550.9796202000,,1007482,ConocoPhillips' Williston (395),6.5442126000,0.0037146000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,38.0000000000,,2019,"395 - RICHLAND, MT (83) - Oil",Associated Gas Venting and Flaring,Table M.1,,215907108.0000000000,215279.1680000000,No
30333.1204544000,0E-10,,1008472,CRI 360 Anadarko,0E-10,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,1.0000000000,,2016,"360 - GRADY, OK (51) - Shale gas",Associated Gas Venting and Flaring,Table M.1,,304549.3826612000,10.0401600000,No
0E-10,0E-10,,1006886,"Clayton Williams Energy, Inc. - 430 Permian Basin",0E-10,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,1.0000000000,,2015,"430 - EDDY, NM (15) - High permeability gas",Associated Gas Venting and Flaring,Table M.1,,0E-10,0E-10,No
2362.3176481000,7122.4226584000,,1007479,ConocoPhillips Permian (430),118.7829779000,0.0129027000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,164.0000000000,,2023,"430 - REEVES, TX (389) - Oil",Associated Gas Venting and Flaring,Table M.1,,2762770220.0000000000,1215868.5680000000,No
1932.1804784000,73325.3929680000,,1007482,ConocoPhillips' Williston (395),206.0742920000,0.1069744000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,264.0000000000,,2016,"395 - MC KENZIE, ND (53) - Oil",Associated Gas Venting and Flaring,Table M.1,,19915519439.0000000000,10755573.4590000000,No
20971.1000000000,0.5000000000,0E-10,1008290,430 Permian Basin DEC,0E-10,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,1.0000000000,,2016,"430 - LEA, NM (25) - High permeability gas",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,0.3000000000,No
6291.4000000000,5468.0024000000,,1008700,COTERRA ENERGY - 430 - PERMIAN BASIN,18.4046000000,0.0077840000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,41.0000000000,,2023,"430 - REEVES, TX (389) - Other Tight Reservoir Rock",Associated Gas Venting and Flaring,Table M.1,,7176171492.4000000000,1150880.8000000000,No
1609.2333000000,16454.6170000000,,1008275,XTO Energy Inc 395 Williston,73.8132000000,0.1784000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,167.0000000000,,2017,"395 - RICHLAND, MT (83) - Oil",Associated Gas Venting and Flaring,Table M.1,,1239978737.9000000000,923699.8500000000,No
4189.4000000000,4537.9000000000,0E-10,1008290,430 Permian Basin DEC,17.2000000000,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,391.0000000000,,2016,"430 - CRANE, TX (103) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,15406.6000000000,No
1070.6109663000,1075.0764000000,,1009261,Ovintiv USA Inc. 395.Williston Basin,3.1634100000,0.0016700000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,3.0000000000,,2016,"395 - WILLIAMS, ND (105) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,20701.6000000000,No
7784.8251638000,0E-10,,1008639,Citation Oil & Gas Corp. 430 Permian Basin,0E-10,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,21.0000000000,,2022,"430 - COKE, TX (81) - Oil",Associated Gas Venting and Flaring,Table M.1,,519146480.0000000000,66686.9800000000,No
3209.9847730000,42542.7327070000,,1008290,430 Permian Basin DEC,88.5030379000,0.0553395000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,311.0000000000,,2023,"430 - LEA, NM (25) - Oil",Associated Gas Venting and Flaring,Table M.1,,57666924000.0000000000,18104452.5500000000,No
7935.0000000000,13847.1000000000,,1009039,WPX Energy Permian LLC,60.6000000000,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,19.0000000000,,2019,"430 - REEVES, TX (389) - Shale gas",Associated Gas Venting and Flaring,Table M.1,,8776036140.0000000000,1326249.1000000000,No
2542.0000000000,23755.5846637000,,1013023,"Sundance Energy, Inc. - South Texas Basin",88.0297803000,0.0399502000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,89.0000000000,,2020,"220 - LIVE OAK, TX (297) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,127240.8654709000,No
15990.5000000000,,4.7195313000,1012724,"LOGOS OPERATING, LLC",,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,2.0000000000,2022,"580 - SAN JUAN, NM (45) - Oil",Associated Gas Venting and Flaring,Table M.1,154.8366761000,0E-10,1135.5000000000,No
10721.6530000000,0E-10,1.3266285000,1009056,Vital Energy Production,0E-10,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,1.0000000000,2016,"430 - REAGAN, TX (383) - Oil",Associated Gas Venting and Flaring,Table M.1,81.0559714000,4940000.0000000000,1002.0000000000,No
