ch4_emissions,co2_emissions,facility_id,facility_name,n2o_emissions,reporting_year,quantity_of_fuel_combusted,unit_of_measure,fuel_combusted_type,combustion_unit_type
0.71,1053.2,1011318,Peak Powder River Resources,0.002,2017,11979,1000SCF,propane,COMB_engine>1MMBTU/hr
0.12,6122.6,1009595,Enerplus Resources (USA) Corporation - Williston Basin,0.112,2023,112483.3068,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
0.99,1344.8,1011353,Halcon Resources Corporation 210 Mid-Gulf Coast Basin,0.002,2015,15901,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
0.48,25342.4,1012571,West Ranch Field,0.048,2019,465513.7859,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.09,72.8,1014640,CPX Energy,0.00E+00,2022,1100,1000SCF,field_process_gas,COMB_compressor-driver
1.00E+00,24757.7,1009350,Javelin Energy Partners Managment Uinta Basin,0.201,2020,324.2665175,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.03,829.7,1013318,Recoil Resources 220 Gulf Coast Basin,0.007,2019,0.108682292,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,49.9,1008204,Green River Basin - AAPG Province 535,0.00E+00,2015,0.621213542,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.13,6644.8,1011862,"Rice Drilling D, LLC - Basin 160A",0.013,2017,122058,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
199.16,195880.3,1009039,WPX Energy Permian LLC,0.328,2020,2655219.022,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,121,1009890,"Comstock Oil & Gas-LA, LLC",0.00E+00,2018,2222.97,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,66.6,1012048,Missouri River Resources Williston Basin 395,0.001,2020,0.872265625,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,69.7,1008788,"Texland Petroleum, LP, 430 - Permian Basin",0.001,2022,0.913305556,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.59,14556.8,1011761,"Extraction Oil & Gas, Inc.",0.12,2021,190.6586841,1000SCF,diesel,COMB_engine>1MMBTU/hr
188.09,158711.6,1008111,ConocoPhillips Alaska Inc - KRU-ALP Fields,0.291,2016,2357566.986,1000SCF,field_process_gas,COMB_compressor-driver
0.87,1027,1009126,Impact E&P Powder River Basin Operations,0.002,2016,13001.33,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
1.00E-02,613.8,1008673,"EXCO Resources (PA), LLC - Basin 160A",0.001,2019,11274,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,0.00E+00,1009386,XTO Energy Inc 220 Gulf Coast,0.00E+00,2020,0,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
0.1,2473.2,1010684,"Goodrich Petroleum, Basin 220 (Gulf Coast Basin)",0.02,2015,32.39240279,1000SCF,diesel,COMB_engine>1MMBTU/hr
