facility_id,facility_name,industry_segment,reporting_year,small_ext_heat,small_in_theat,table_desc,table_num,total_number_of_units
1012388,Energy Transfer 360 - Anadarko Basin,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2023,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,150.0000000000
1003992,Jackson Energy Authority,Natural gas distribution [98.230(a)(8)],2016,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012893,BlueCrest Alaska - 820 Cook Inlet Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2019,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,46.0000000000
1012744,Seneca East G&B Facilities,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,2.0000000000
1009846,Permian Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2018,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,1008.0000000000
1013413,"Eclipse Resources I, LP",Onshore petroleum and natural gas production [98.230(a)(2)],2021,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,9.0000000000
1008498,City of Chanute - Utility Complex,Natural gas distribution [98.230(a)(8)],2022,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1002199,NORTHWESTERN ENERGY/GTS,Natural gas distribution [98.230(a)(8)],2020,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1011998,"TGNR TVL LLC - Basin 230 (Houston, TX)",Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,599.0000000000
1008092,EP Energy E&P 220 Gulf Coast Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2019,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,21.0000000000
1011861,"Rice Drilling B, LLC - Basin 160A",Onshore petroleum and natural gas production [98.230(a)(2)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,358.0000000000
1009328,MERIT ENERGY CO LLC 350 SOUTH OKLAHOMA FOLDED BELT,Onshore petroleum and natural gas production [98.230(a)(2)],2017,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,8.0000000000
1005550,Chesapeake Utilities - DE Division,Natural gas distribution [98.230(a)(8)],2015,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012729,CNX Gas Company LLC - 160A Appalachian Basin Eastern Overthrust Area - GB,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,26.0000000000
1002025,Wisconsin Power & Light Gas Distribution,Natural gas distribution [98.230(a)(8)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,21.0000000000
1009286,PDC Energy 540 Denver Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2023,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,3274.0000000000
1013991,Hilcorp Energy Company - Wind River Basin (530) Gathering & Boosting,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2022,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,6.0000000000
1009335,Presidio Petroleum 360 Anadarko Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,2875.0000000000
1012790,Hess Williston Basin Gathering & Boosting,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2019,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,29.0000000000
1008081,"Vine Energy, Inc.",Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,636.0000000000
1010397,Riviera Resources 535 Green River Basin Production Segment,Onshore petroleum and natural gas production [98.230(a)(2)],2018,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,770.0000000000
1011226,Crimson Resource Management Corp.,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2019,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,12.0000000000
1005569,"UGI Central Penn Gas, Inc.",Natural gas distribution [98.230(a)(8)],2015,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1003754,Kash Oil & Gas - Basin 220,Onshore petroleum and natural gas production [98.230(a)(2)],2015,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,4.0000000000
1012733,EnverVest Operating L.L.C.- 305 Michigan G&B,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,34.0000000000
1012622,Summit Midstream 415 Strawn Basin GB,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2019,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,6.0000000000
1012301,"ConocoPhillips' Williston, Gathering & Boosting (395)",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2019,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,195.0000000000
1012816,"ORX Resources, LLC - Gulf Coast Basin (220)",Onshore petroleum and natural gas production [98.230(a)(2)],2021,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,19.0000000000
1002220,Intermountain Gas Company,Natural gas distribution [98.230(a)(8)],2019,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1008590,Dominion Energy Wexpro - Green River Basin (Prod),Onshore petroleum and natural gas production [98.230(a)(2)],2022,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,1636.0000000000
1012722,Hilcorp Energy Company - Gulf Coast Basin (220) Gathering & Boosting,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2023,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,46.0000000000
1012014,White Knight 420 Fort Worth Syncline,Onshore petroleum and natural gas production [98.230(a)(2)],2023,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,86.0000000000
1012652,Antero Midstream LLC- 160A Basin,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2020,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,67.0000000000
1011773,"Earthstone Operating, LLC - Basin 220",Onshore petroleum and natural gas production [98.230(a)(2)],2018,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,119.0000000000
1008694,BTA 430 Permian Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2023,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,288.0000000000
1004210,Indiana Gas Company,Natural gas distribution [98.230(a)(8)],2017,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,101.0000000000
1011976,Indigo Resources LLC 260 East Texas Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2015,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,32.0000000000
1013964,Mewbourne Oil Company - Permian Basin 430 Gf,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1003642,New York State Electric and Gas,Natural gas distribution [98.230(a)(8)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,11.0000000000
1008402,California Resources Production Corporation  San Joaquin Valley Basin 745,Onshore petroleum and natural gas production [98.230(a)(2)],2015,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,103.0000000000
1012504,"MarkWest Liberty Midstream & Resources, L.L.C. - 160A Appalachian Basin (Eastern Overthrust Area) - G&B",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,21.0000000000
1010291,"Miller Energy Company II, LLC",Onshore petroleum and natural gas production [98.230(a)(2)],2016,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,329.0000000000
1012361,CRPC  Sacramento Valley Basin Gathering and Boosting,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2017,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,2.0000000000
1013728,"PetroShale (US), Inc.",Onshore petroleum and natural gas production [98.230(a)(2)],2017,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,8.0000000000
1013244,"Citizen Energy III, LLC",Onshore petroleum and natural gas production [98.230(a)(2)],2018,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,424.0000000000
1013077,"DTM Appalachia Gathering, LLC",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2023,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,12.0000000000
1009932,"Enervest Operating, L.L.C. 160A Appalachian Basin (Eastern Overthrust area)",Onshore petroleum and natural gas production [98.230(a)(2)],2020,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,242.0000000000
1014388,Foundation Energy Management 395 Williston Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2022,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,219.0000000000
1004063,City of Charlottesville,Natural gas distribution [98.230(a)(8)],2019,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1012576,"Kinder Morgan Energy Partners, L.P. 220 Gulf Coast Basin (LA, TX)",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2022,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,6.0000000000
1013230,BCE-Mach III Midstream Holding LLC (Boosters - 360 Anadarko Basin GB,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2020,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1013085,"SN EF Maverick, LLC 220 Gulf Coast Basin GB",Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2018,No,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,247.0000000000
1009357,Finley Resources Inc - Uintah Basin (575),Onshore petroleum and natural gas production [98.230(a)(2)],2016,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,496.0000000000
1011659,Endeavor Energy Resources LP 430 Permian Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2019,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,900.0000000000
1007011,City of Rensselaer Gas Utility,Natural gas distribution [98.230(a)(8)],2015,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1008202,Denver Basin - AAPG Province 540,Onshore petroleum and natural gas production [98.230(a)(2)],2022,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,3820.0000000000
1013626,"Scala Energy, LLC - 430 (Permian Basin)",Onshore petroleum and natural gas production [98.230(a)(2)],2019,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1009485,Chief Oil & Gas LLC (160A),Onshore petroleum and natural gas production [98.230(a)(2)],2021,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,404.0000000000
1009732,BKV Operating LLC,Onshore petroleum and natural gas production [98.230(a)(2)],2022,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,350.0000000000
1009673,SM Energy (Basin 260) East Texas,Onshore petroleum and natural gas production [98.230(a)(2)],2015,,,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1013058,ETGP 260 East Texas GB,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2021,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,3.0000000000
1012070,SilverCreek Chautauqua #355,Onshore petroleum and natural gas production [98.230(a)(2)],2017,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,92.0000000000
1012240,DCP Midstream 350 South Oklahoma Folded Belt,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],2016,Yes,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,15.0000000000
1011531,WildFire Energy Operating LLC,Onshore petroleum and natural gas production [98.230(a)(2)],2022,Yes,Yes,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,472.0000000000
1013870,Sheridan Production Company Basin 260,Onshore petroleum and natural gas production [98.230(a)(2)],2022,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
1000435,Merit Energy Co. South Texas 220 Gulf Coast Basin,Onshore petroleum and natural gas production [98.230(a)(2)],2017,No,No,External combustion units with a heat capacity equal to or less than 5 mmBtu/hr or Internal combustion units equal ,Table Z.1,
